Parameter & mean & sd & MC_error & val2.5pc & median & val97.5pc & start & sample \\
z[1,1] & 0.03616 & 0.03224 & 0.000629 & 0.000938 & 0.02693 & 0.1205 & 5001 &  10000 \\
z[1,2] & 0.9638 & 0.03224 & 0.000629 & 0.8796 & 0.9731 & 0.9991 & 5001 &  10000 \\
z[2,1] & 0.01314 & 0.01317 & 0.000247 & 0.000314 & 0.00924 & 0.04903 & 5001 &  10000 \\
z[2,2] & 0.9869 & 0.01317 & 0.000247 & 0.951 & 0.9908 & 0.9997 & 5001 &  10000 \\
z[3,1] & 0.0106 & 0.01121 & 0.000351 & 0.000279 & 0.007421 & 0.03918 & 5001 &  10000 \\
z[3,2] & 0.9894 & 0.01121 & 0.000351 & 0.9609 & 0.9926 & 0.9997 & 5001 &  10000 \\
z[4,1] & 0.009242 & 0.009716 & 0.000335 & 0.000232 & 0.006394 & 0.03406 & 5001 &  10000 \\
z[4,2] & 0.9908 & 0.009716 & 0.000335 & 0.966 & 0.9936 & 0.9998 & 5001 &  10000 \\
z[5,1] & 0.2928 & 0.07405 & 0.003272 & 0.1581 & 0.2898 & 0.442 & 5001 &  10000 \\
z[5,2] & 0.7072 & 0.07405 & 0.003272 & 0.5581 & 0.7103 & 0.8419 & 5001 &  10000 \\
z[6,1] & 0.3161 & 0.06105 & 0.002712 & 0.199 & 0.3164 & 0.4313 & 5001 &  10000 \\
z[6,2] & 0.6839 & 0.06105 & 0.002712 & 0.5688 & 0.6836 & 0.8011 & 5001 &  10000 \\
z[7,1] & 0.3159 & 0.0615 & 0.002763 & 0.1962 & 0.3169 & 0.4313 & 5001 &  10000 \\
z[7,2] & 0.6841 & 0.0615 & 0.002763 & 0.5688 & 0.6831 & 0.804 & 5001 &  10000 \\
z[8,1] & 0.01185 & 0.01357 & 0.000431 & 0.000166 & 0.006259 & 0.04506 & 5001 &  10000 \\
z[8,2] & 0.9882 & 0.01357 & 0.000431 & 0.955 & 0.9937 & 0.9998 & 5001 &  10000 \\
z[9,1] & 0.6889 & 0.1377 & 0.01124 & 0.429 & 0.7293 & 0.9043 & 5001 &  10000 \\
z[9,2] & 0.3111 & 0.1377 & 0.01124 & 0.09572 & 0.2707 & 0.5712 & 5001 &  10000 \\
z[10,1] & 0.5039 & 0.1501 & 0.006042 & 0.1871 & 0.4832 & 0.8076 & 5001 &  10000 \\
z[10,2] & 0.4961 & 0.1501 & 0.006042 & 0.1924 & 0.5168 & 0.8131 & 5001 &  10000 \\
z[11,1] & 0.2942 & 0.07389 & 0.003203 & 0.1598 & 0.2923 & 0.4409 & 5001 &  10000 \\
z[11,2] & 0.7058 & 0.07389 & 0.003203 & 0.5591 & 0.7078 & 0.8404 & 5001 &  10000 \\
