z[1,1] & 0.003856 & 0.01087 & 0.000348 & 0.0000683 & 0.002117 & 0.01484 & 1001 & 5000 \\
z[1,2] & 0.9961 & 0.01087 & 0.000348 & 0.9852 & 0.9979 & 0.9999 & 1001 & 5000 \\
z[2,1] & 0.1065 & 0.06463 & 0.006143 & 0.03656 & 0.08161 & 0.2624 & 1001 & 5000 \\
z[2,2] & 0.8935 & 0.06463 & 0.006143 & 0.7377 & 0.9184 & 0.9635 & 1001 & 5000 \\
z[3,1] & 0.275 & 0.2529 & 0.02846 & 0.000125 & 0.3939 & 0.618 & 1001 & 5000 \\
z[3,2] & 0.725 & 0.2529 & 0.02846 & 0.3821 & 0.6061 & 0.9999 & 1001 & 5000 \\
z[4,1] & 0.7162 & 0.04966 & 0.004548 & 0.612 & 0.7219 & 0.7981 & 1001 & 5000 \\
z[4,2] & 0.2838 & 0.04966 & 0.004548 & 0.202 & 0.2781 & 0.3881 & 1001 & 5000 \\
z[5,1] & 0.5339 & 0.1134 & 0.006199 & 0.3374 & 0.5283 & 0.8026 & 1001 & 5000 \\
z[5,2] & 0.4661 & 0.1134 & 0.006199 & 0.1977 & 0.4717 & 0.6628 & 1001 & 5000 \\
z[6,1] & 0.175 & 0.07466 & 0.007636 & 0.03351 & 0.1776 & 0.3189 & 1001 & 5000 \\
z[6,2] & 0.825 & 0.07466 & 0.007636 & 0.6813 & 0.8224 & 0.9665 & 1001 & 5000 \\
z[7,1] & 0.1566 & 0.04893 & 0.00485 & 0.055 & 0.158 & 0.2532 & 1001 & 5000 \\
z[7,2] & 0.8434 & 0.04893 & 0.00485 & 0.747 & 0.842 & 0.9451 & 1001 & 5000 \\
z[8,1] & 0.08182 & 0.07648 & 0.008624 & 0.02455 & 0.0522 & 0.3139 & 1001 & 5000 \\
z[8,2] & 0.9182 & 0.07648 & 0.008624 & 0.6862 & 0.9478 & 0.9755 & 1001 & 5000 \\
z[9,1] & 0.7192 & 0.04674 & 0.004289 & 0.6238 & 0.7242 & 0.7978 & 1001 & 5000 \\
z[9,2] & 0.2808 & 0.04674 & 0.004289 & 0.2022 & 0.2759 & 0.3762 & 1001 & 5000 \\
z[10,1] & 0.1562 & 0.04808 & 0.00512 & 0.06141 & 0.1545 & 0.2545 & 1001 & 5000 \\
z[10,2] & 0.8438 & 0.04808 & 0.00512 & 0.7457 & 0.8455 & 0.9389 & 1001 & 5000 \\
z[11,1] & 0.001996 & 0.002333 & 0.000114 & 0.0000536 & 0.001287 & 0.008082 & 1001 & 5000 \\
z[11,2] & 0.998 & 0.002333 & 0.000114 & 0.9919 & 0.9987 & 0.9999 & 1001 & 5000 \\
z[12,1] & 0.5522 & 0.1174 & 0.007133 & 0.3555 & 0.5477 & 0.8017 & 1001 & 5000 \\
z[12,2] & 0.4478 & 0.1174 & 0.007133 & 0.1988 & 0.4523 & 0.6449 & 1001 & 5000 \\
z[13,1] & 0.5211 & 0.1064 & 0.006296 & 0.3461 & 0.5122 & 0.7707 & 1001 & 5000 \\
z[13,2] & 0.4789 & 0.1064 & 0.006296 & 0.2301 & 0.4878 & 0.6544 & 1001 & 5000 \\
z[14,1] & 0.1487 & 0.04501 & 0.004674 & 0.06478 & 0.1454 & 0.2423 & 1001 & 5000 \\
z[14,2] & 0.8513 & 0.04501 & 0.004674 & 0.7578 & 0.8546 & 0.9354 & 1001 & 5000 \\
z[15,1] & 0.9927 & 0.005924 & 0.000153 & 0.9779 & 0.994 & 0.9997 & 1001 & 5000 \\
z[15,2] & 0.007346 & 0.005924 & 0.000153 & 0.000287 & 0.006003 & 0.02216 & 1001 & 5000 \\
z[16,1] & 0.8134 & 0.04788 & 0.004368 & 0.6973 & 0.8218 & 0.9043 & 1001 & 5000 \\
z[16,2] & 0.1866 & 0.04788 & 0.004368 & 0.09566 & 0.1782 & 0.3027 & 1001 & 5000 \\
z[17,1] & 0.9922 & 0.00975 & 0.000495 & 0.9634 & 0.9953 & 0.9999 & 1001 & 5000 \\
z[17,2] & 0.007753 & 0.00975 & 0.000495 & 0.0000709 & 0.004685 & 0.0367 & 1001 & 5000 \\
z[18,1] & 0.1932 & 0.0542 & 0.003711 & 0.09405 & 0.1875 & 0.3059 & 1001 & 5000 \\
z[18,2] & 0.8068 & 0.0542 & 0.003711 & 0.6942 & 0.8125 & 0.906 & 1001 & 5000 \\
z[19,1] & 0.8684 & 0.03174 & 0.00292 & 0.786 & 0.873 & 0.9165 & 1001 & 5000 \\
z[19,2] & 0.1316 & 0.03174 & 0.00292 & 0.08354 & 0.127 & 0.2141 & 1001 & 5000 \\
z[20,1] & 0.07908 & 0.07084 & 0.008133 & 0.02664 & 0.05308 & 0.3023 & 1001 & 5000 \\
z[20,2] & 0.9209 & 0.07084 & 0.008133 & 0.6978 & 0.9469 & 0.9734 & 1001 & 5000 \\
z[21,1] & 0.7612 & 0.0991 & 0.01039 & 0.6239 & 0.7316 & 0.9541 & 1001 & 5000 \\
z[21,2] & 0.2388 & 0.0991 & 0.01039 & 0.04588 & 0.2684 & 0.3762 & 1001 & 5000 \\
z[22,1] & 0.893 & 0.03522 & 0.003336 & 0.8042 & 0.9006 & 0.9437 & 1001 & 5000 \\
z[22,2] & 0.107 & 0.03522 & 0.003336 & 0.05631 & 0.09937 & 0.1961 & 1001 & 5000 \\
z[23,1] & 0.3353 & 0.1037 & 0.006714 & 0.1345 & 0.341 & 0.5553 & 1001 & 5000 \\
z[23,2] & 0.6647 & 0.1037 & 0.006714 & 0.4449 & 0.6591 & 0.8655 & 1001 & 5000 \\
